city,lat,lng
"Anchorage, AK",61.218056, -149.9002806
"Birmingham, AL",33.5206824, -86.8024326
"Little Rock, AR",34.7464809, -92.2895948
"Mesa, AZ",33.4153143, -111.8312641
"Phoenix, AZ",33.4467681, -112.0756724
"Scottsdale, AZ",33.5091215, -111.8992365
"Tempe, AZ",33.4144139, -111.9094458
"Tucson, AZ",32.2217422, -110.9264759
"Berkeley, CA",37.8708393, -122.2728639
"Fresno, CA",36.7295295, -119.708861160756
"Irvine, CA",33.6856969, -117.8259819
"Los Angeles, CA",34.053717, -118.2427266
"Oakland, CA",37.8044557, -122.2713563
"Sacramento, CA",38.5815719, -121.4943996
"San Diego, CA",32.7174209, -117.1627714
"San Francisco, CA",37.7792768, -122.4192704
"San Jose, CA",37.3438502, -121.8831349
"Santa Clara, CA",37.3541132, -121.9551744
"Sunnyvale, CA",37.3688301, -122.0363496
"Colorado Springs, CO",38.8339578, -104.8253485
"Denver, CO",39.7391536, -104.9847034
"Washington, DC",38.8949549, -77.0366456
"Gainesville, FL",29.651907, -82.3247976
"Jacksonville, FL",30.3321838, -81.655651
"Miami, FL",25.7742658, -80.1936589
"Orlando, FL",28.5421175, -81.3790462
"Tampa, FL",27.9477595, -82.458444
"Atlanta, GA",33.7490987, -84.3901849
"Roswell, GA",34.02332, -84.360022
"Honolulu, HI",21.304547, -157.8556764
"Des Moines, IA",41.5910641, -93.6037149
"Boise, ID",43.615046, -116.2044429
"Chicago, IL",41.8755546, -87.6244212
"Indianapolis, IN",39.7683795, -86.1580447
"Wichita, KS",37.6922361, -97.3375448
"Lexington, KY",38.0464066, -84.4970393
"Baton Rouge, LA",30.4507462, -91.154551
"New Orleans, LA",29.9499323, -90.0701156
"Boston, MA",42.3604823, -71.0595678
"Somerville, MA",42.3875968, -71.0994968
"Baltimore, MD",39.2908608, -76.6108073
"Grand Rapids, MI",42.9632405, -85.6678639
"St Paul, MN",44.9504037, -93.1015026
"Kansas City, MO",39.0844687, -94.5630298
"Springfield, MO",37.2153307, -93.2982521
"St Louis, MO",38.6272733, -90.1978889
"Jackson, MS",32.4104385, -90.162064888255
"Cary, NC",35.7882973, -78.7811925
"Charlotte, NC",35.2270869, -80.8431268
"Durham, NC",35.9940329, -78.898619
"Greensboro, NC",36.0726355, -79.7919754
"Raleigh, NC",35.7804015, -78.6390779
"Lincoln, NE",40.8000554, -96.6674005
"Omaha, NE",41.2587317, -95.9378732
"Newark, NJ",40.735657, -74.1723667
"Albuquerque, NM",35.0841034, -106.6509851
"Las Vegas, NV",36.1662859, -115.149225
"Reno, NV",39.52927, -119.8136744
"Albany, NY",42.6511674, -73.754968
"Buffalo, NY",42.8864468, -78.8783689
"New York, NY",40.7305991, -73.9865812
"Rochester, NY",43.1854754, -77.6106860008176
"Cleveland, OH",41.5051613, -81.6934446
"Columbus, OH",39.9622601, -83.0007065
"Dayton, OH",39.7589478, -84.1916069
"Oklahoma City, OK",35.4729886, -97.5170536
"Tulsa, OK",36.1556805, -95.9929113
"Beaverton, OR",45.4871723, -122.8037804
"Eugene, OR",44.0505054, -123.0950506
"Portland, OR",45.5202471, -122.6741949
"Philadelphia, PA",39.952335, -75.163789
"Pittsburgh, PA",40.4416941, -79.9900861
"State College, PA",40.794026, -77.8606975
"Providence, RI",41.8239891, -71.4128343
"Columbia, SC",34.0007493, -81.0343313
"Greenville, SC",34.851354, -82.3984882
"Knoxville, TN",35.9603948, -83.9210261
"Memphis, TN",35.1490215, -90.0516285
"Nashville, TN",36.1622257, -86.7743419
"Austin, TX",30.2711286, -97.7436995
"Dallas, TX",32.7761963, -96.7968994
"Ft Worth, TX",32.753177, -97.3327459
"Houston, TX",29.951919, -95.5409143301668
"Irving, TX",32.8629195, -96.9791701654883
"Lubbock, TX",33.5778631, -101.8551665
"Plano, TX",33.0136764, -96.6925096
"San Antonio, TX",29.4246002, -98.4951405
"Salt Lake City, UT",40.7670126, -111.8904308
"Arlington, VA",38.8903961, -77.0841585
"Norfolk, VA",36.9306505, -76.2573110672108
"Reston, VA",38.9312353, -77.3570209094158
"Richmond, VA",37.5385087, -77.43428
"Bellevue, WA",47.6144219, -122.1923372
"Seattle, WA",47.6038321, -122.3300624
"Spokane, WA",47.6588603, -117.4247134
"Madison, WI",43.074761, -89.3837613
"Milwaukee, WI",43.0349931, -87.922497
